YEAR,STATE/REGION,GDP_EXP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2013,HI,598738461,15000,..0,All industry total,False,74598500000.0,1,1408822
2013,IA,13903372889,19000,..0,All industry total,False,162415000000.0,1,3093935
2013,ID,5789446916,16000,..0,All industry total,False,61712600000.0,1,1612053
2013,IL,66212888783,17000,..0,All industry total,False,742890900000.0,1,12895778
2013,IN,34216019331,18000,..0,All industry total,False,313466900000.0,1,6570575
2013,KS,12459173965,20000,..0,All industry total,False,144999300000.0,1,2894306
2013,KY,25411715048,21000,..0,All industry total,False,184920600000.0,1,4406906
2013,LA,63247023570,22000,..0,All industry total,False,231652700000.0,1,4626040
2013,MA,26812015718,25000,..0,All industry total,False,452580400000.0,1,6715158
2013,MD,11746717983,24000,..0,All industry total,False,339895800000.0,1,5925197
2013,ME,2686755180,23000,..0,All industry total,False,54924800000.0,1,1328543
2013,MI,59399808175,26000,..0,All industry total,False,441470800000.0,1,9914802
2013,MN,20760138727,27000,..0,All industry total,False,311752100000.0,1,5414722
2013,MO,12958224737,29000,..0,All industry total,False,282659700000.0,1,6042989
2013,MS,12415151592,28000,..0,All industry total,False,103042600000.0,1,2989839
2013,MT,1505796258,30000,..0,All industry total,False,43584000000.0,1,1014158
2013,NC,29347122545,37000,..0,All industry total,False,460946400000.0,1,9846717
2013,ND,4401699407,38000,..0,All industry total,False,54877000000.0,1,723149
2013,NE,7392988737,31000,..0,All industry total,False,107247000000.0,1,1865813
2013,NH,3511047837,33000,..0,All industry total,False,70897400000.0,1,1327272
2013,NJ,36611873709,34000,..0,All industry total,False,534212100000.0,1,8857821
2013,NM,2726138754,35000,..0,All industry total,False,88773300000.0,1,2092833
2013,NV,8701076294,32000,..0,All industry total,False,133592500000.0,1,2776956
2013,NY,86407154917,36000,..0,All industry total,False,1364632900000.0,1,19626488
2013,OH,51048198341,39000,..0,All industry total,False,566419900000.0,1,11579692
2013,OK,6919746438,40000,..0,All industry total,False,184104600000.0,1,3853891
2013,OR,18633579686,41000,..0,All industry total,False,178975400000.0,1,3924110
2013,PA,41180765931,42000,..0,All industry total,False,670767400000.0,1,12779538
2013,RI,2164107517,44000,..0,All industry total,False,52994200000.0,1,1055560
2013,SC,26341157286,45000,..0,All industry total,False,186268300000.0,1,4766469
2013,SD,1582153214,46000,..0,All industry total,False,45498600000.0,1,842751
2013,TN,32473718590,47000,..0,All industry total,False,296756300000.0,1,6496943
2013,TX,277715515839,48000,..0,All industry total,False,1526781900000.0,1,26479646
2013,USA,1578516879950,0,..0,All industry total,False,16880683000000.0,1,316059947
2013,UT,16111186086,49000,..0,All industry total,False,135344299999.99998,1,2898773
2013,VA,17896130606,51000,..0,All industry total,False,456911600000.0,1,8255861
2013,VT,4026539545,50000,..0,All industry total,False,29477600000.0,1,626603
2013,WA,81629977930,53000,..0,All industry total,False,416924100000.0,1,6966252
2013,WI,23110467863,55000,..0,All industry total,False,283791400000.0,1,5738012
2013,WV,8731720788,54000,..0,All industry total,False,71758600000.0,1,1854768
2013,WY,1350619355,56000,..0,All industry total,False,39365600000.0,1,582620
2014,AK,5111164364,2000,..0,All industry total,False,56587400000.0,1,737075
2014,AL,19450396592,1000,..0,All industry total,False,197064400000.0,1,4843737
2014,AR,6866248634,5000,..0,All industry total,False,117388700000.0,1,2968759
2014,AZ,21247281881,4000,..0,All industry total,False,286676000000.0,1,6732873
2014,CA,173868587862,6000,..0,All industry total,False,2342218800000.0,1,38586706
2014,CO,8363706004,8000,..0,All industry total,False,309223900000.0,1,5352637
2014,CT,15962841243,9000,..0,All industry total,False,247114700000.0,1,3595697
2014,DE,5267417899,10000,..0,All industry total,False,68606000000.0,1,933131
2014,FL,58438831859,12000,..0,All industry total,False,860112600000.0,1,19853880
2014,GA,39412653245,13000,..0,All industry total,False,493370300000.0,1,10071204
2014,HI,1447489746,15000,..0,All industry total,False,77043000000.0,1,1415335
2014,IA,15111534141,19000,..0,All industry total,False,173734200000.0,1,3110643
2014,ID,5137755733,16000,..0,All industry total,False,64501700000.0,1,1632248
2014,IL,68394004251,17000,..0,All industry total,False,772291700000.0,1,12885092
2014,IN,35589050696,18000,..0,All industry total,False,329360900000.0,1,6596019
2014,KS,12021862442,20000,..0,All industry total,False,150276100000.0,1,2901861
2014,KY,27757391814,21000,..0,All industry total,False,188326400000.0,1,4416992
2014,LA,64770099653,22000,..0,All industry total,False,240965000000.0,1,4645938
2014,MA,27384173954,25000,..0,All industry total,False,469824900000.0,1,6764864
2014,MD,12228280714,24000,..0,All industry total,False,351743100000.0,1,5960064
2014,ME,2811060491,23000,..0,All industry total,False,56537400000.0,1,1331217
2014,MI,57573110364,26000,..0,All industry total,False,456123500000.0,1,9932033
2014,MN,21397601177,27000,..0,All industry total,False,324701500000.0,1,5452665
2014,MO,14189644211,29000,..0,All industry total,False,289340700000.0,1,6059130
2014,MS,11484927655,28000,..0,All industry total,False,105219500000.0,1,2991892
2014,MT,1544908682,30000,..0,All industry total,False,45203800000.0,1,1022657
2014,NC,31420001053,37000,..0,All industry total,False,482295700000.0,1,9937295
2014,ND,5513078376,38000,..0,All industry total,False,61108300000.0,1,738736
2014,NE,7889684505,31000,..0,All industry total,False,112763300000.0,1,1879955
2014,NH,4233171217,33000,..0,All industry total,False,73455100000.0,1,1334257
2014,NJ,36586974597,34000,..0,All industry total,False,543824100000.0,1,8867277
2014,NM,3801606959,35000,..0,All industry total,False,92523400000.0,1,2090236
2014,NV,7691747589,32000,..0,All industry total,False,136918400000.0,1,2818935
2014,NY,88834326287,36000,..0,All industry total,False,1434606300000.0,1,19653431
2014,OH,52641380990,39000,..0,All industry total,False,597152300000.0,1,11606573
2014,OK,6308264729,40000,..0,All industry total,False,197074100000.0,1,3879187
2014,OR,20888784627,41000,..0,All industry total,False,187837600000.0,1,3965447
2014,PA,40410834695,42000,..0,All industry total,False,695546600000.0,1,12792392
2014,RI,2388479292,44000,..0,All industry total,False,54612500000.0,1,1056511
2014,SC,29773013706,45000,..0,All industry total,False,195744400000.0,1,4826858
2014,SD,1577588645,46000,..0,All industry total,False,47159900000.0,1,849670
2014,TN,33250895441,47000,..0,All industry total,False,307448500000.0,1,6544617
2014,TX,285559318623,48000,..0,All industry total,False,1592177600000.0,1,26963092
2014,USA,1621873792910,0,..0,All industry total,False,17608138000000.0,1,318386329
2014,UT,12224102182,49000,..0,All industry total,False,142627700000.0,1,2938327
2014,VA,19390790669,51000,..0,All industry total,False,465601700000.0,1,8315430
2014,VT,3669605649,50000,..0,All industry total,False,30359400000.0,1,625693
2014,WA,90558268785,53000,..0,All industry total,False,439851200000.0,1,7057531
2014,WI,23425570899,55000,..0,All industry total,False,296169900000.0,1,5753199
2014,WV,7597011063,54000,..0,All industry total,False,73042600000.0,1,1850569
2014,WY,1757262877,56000,..0,All industry total,False,40573900000.0,1,583159
2015,AK,4620072732,2000,..0,All industry total,False,51574200000.0,1,738430
2015,AL,19322187070,1000,..0,All industry total,False,203113300000.0,1,4854803
2015,AR,5870914766,5000,..0,All industry total,False,118573600000.0,1,2979732
2015,AZ,22654209483,4000,..0,All industry total,False,298942200000.0,1,6832810
2015,CA,165360377800,6000,..0,All industry total,False,2487156400000.0,1,38904296
2015,CO,7949646477,8000,..0,All industry total,False,320895900000.0,1,5454328
2015,CT,15241755287,9000,..0,All industry total,False,260648500000.0,1,3588561
2015,DE,5407657594,10000,..0,All industry total,False,72352500000.0,1,942065
2015,FL,53903078437,12000,..0,All industry total,False,918464300000.0,1,20219111
2015,GA,38596033966,13000,..0,All industry total,False,525516800000.00006,1,10183353
2015,HI,1896394504,15000,..0,All industry total,False,81410200000.0,1,1422999
2015,IA,13238360275,19000,..0,All industry total,False,181471700000.0,1,3122541
2015,ID,4302089548,16000,..0,All industry total,False,66064899999.99999,1,1652495
2015,IL,63368690936,17000,..0,All industry total,False,802592000000.0,1,12859585
2015,IN,33819142544,18000,..0,All industry total,False,333163800000.0,1,6611442
2015,KS,10689483823,20000,..0,All industry total,False,155699000000.0,1,2910717
2015,KY,27636602594,21000,..0,All industry total,False,194621200000.0,1,4429126
2015,LA,48678638510,22000,..0,All industry total,False,234324200000.0,1,4666998
2015,MA,25289294372,25000,..0,All industry total,False,497767000000.0,1,6797484
2015,MD,10052096811,24000,..0,All industry total,False,367314100000.0,1,5988528
2015,ME,2761768870,23000,..0,All industry total,False,58755800000.0,1,1329098
2015,MI,53944933483,26000,..0,All industry total,False,479222700000.0,1,9934483
2015,MN,20013268583,27000,..0,All industry total,False,336762000000.0,1,5484002
2015,MO,13646633414,29000,..0,All industry total,False,299597700000.0,1,6075411
2015,MS,10848570073,28000,..0,All industry total,False,106623900000.0,1,2990231
2015,MT,1404092314,30000,..0,All industry total,False,46542400000.0,1,1031495
2015,NC,30201786519,37000,..0,All industry total,False,508672400000.0,1,10037218
2015,ND,4027220564,38000,..0,All industry total,False,56952200000.0,1,755537
2015,NE,6663666425,31000,..0,All industry total,False,117402300000.0,1,1892059
2015,NH,4001321678,33000,..0,All industry total,False,77385800000.0,1,1337480
2015,NJ,32063000744,34000,..0,All industry total,False,565807700000.0,1,8870312
2015,NM,3781702640,35000,..0,All industry total,False,90779400000.0,1,2090071
2015,NV,8666515430,32000,..0,All industry total,False,145786800000.0,1,2868531
2015,NY,83124545673,36000,..0,All industry total,False,1498474700000.0,1,19657321
2015,OH,51261855967,39000,..0,All industry total,False,615275500000.0,1,11622315
2015,OK,5250680332,40000,..0,All industry total,False,187364700000.0,1,3910518
2015,OR,20057330956,41000,..0,All industry total,False,200592600000.0,1,4018542
2015,PA,39439356000,42000,..0,All industry total,False,716534300000.0,1,12789838
2015,RI,2132706241,44000,..0,All industry total,False,56604000000.0,1,1056886
2015,SC,31021185321,45000,..0,All industry total,False,207510000000.0,1,4896006
2015,SD,1420507519,46000,..0,All industry total,False,48678900000.0,1,854663
2015,TN,32616848576,47000,..0,All industry total,False,326382500000.0,1,6595354
2015,TX,248780410089,48000,..0,All industry total,False,1585985900000.0,1,27468531
2015,USA,1503328349746,0,..0,All industry total,False,18295019000000.0,1,320738994
2015,UT,13307637767,49000,..0,All industry total,False,149762100000.0,1,2983626
2015,VA,17801081926,51000,..0,All industry total,False,485540900000.0,1,8367303
2015,VT,3176353744,50000,..0,All industry total,False,31152400000.0,1,625810
2015,WA,86374679575,53000,..0,All industry total,False,467590600000.0,1,7167287
2015,WI,22441969520,55000,..0,All industry total,False,308304500000.0,1,5762927
2015,WV,5832736966,54000,..0,All industry total,False,71713400000.0,1,1843332
2015,WY,1174994159,56000,..0,All industry total,False,38624800000.0,1,586389
2016,AK,4350280935,2000,..0,All industry total,False,51121800000.0,1,742575
2016,AL,20471198733,1000,..0,All industry total,False,208824300000.0,1,4866824
2016,AR,5722152053,5000,..0,All industry total,False,120987400000.0,1,2991815
