YEAR,STATE/REGION,GDP_IMP_SUM,GeoFIPS,NAICS,NAICS_LDESC,BEA_GROUP,GDP,LEVEL,EST_POP
2013,IL,124766206026,17000,..0,All industry total,False,742890900000.0,1,12895778
2013,IN,45677673895,18000,..0,All industry total,False,313466900000.0,1,6570575
2013,KS,10756377542,20000,..0,All industry total,False,144999300000.0,1,2894306
2013,KY,37859685105,21000,..0,All industry total,False,184920600000.0,1,4406906
2013,LA,66214194990,22000,..0,All industry total,False,231652700000.0,1,4626040
2013,MA,34361328911,25000,..0,All industry total,False,452580400000.0,1,6715158
2013,MD,26578232050,24000,..0,All industry total,False,339895800000.0,1,5925197
2013,ME,3540876598,23000,..0,All industry total,False,54924800000.0,1,1328543
2013,MI,118151160358,26000,..0,All industry total,False,441470800000.0,1,9914802
2013,MN,33022290729,27000,..0,All industry total,False,311752100000.0,1,5414722
2013,MO,18514613379,29000,..0,All industry total,False,282659700000.0,1,6042989
2013,MS,20003507156,28000,..0,All industry total,False,103042600000.0,1,2989839
2013,MT,5740599560,30000,..0,All industry total,False,43584000000.0,1,1014158
2013,NC,49847681395,37000,..0,All industry total,False,460946400000.0,1,9846717
2013,ND,3601209232,38000,..0,All industry total,False,54877000000.0,1,723149
2013,NE,3702901016,31000,..0,All industry total,False,107247000000.0,1,1865813
2013,NH,11873195932,33000,..0,All industry total,False,70897400000.0,1,1327272
2013,NJ,119251956200,34000,..0,All industry total,False,534212100000.0,1,8857821
2013,NM,2016094015,35000,..0,All industry total,False,88773300000.0,1,2092833
2013,NV,8582337895,32000,..0,All industry total,False,133592500000.0,1,2776956
2013,NY,129749760194,36000,..0,All industry total,False,1364632900000.0,1,19626488
2013,OH,66418897653,39000,..0,All industry total,False,566419900000.0,1,11579692
2013,OK,12382689022,40000,..0,All industry total,False,184104600000.0,1,3853891
2013,OR,14344391131,41000,..0,All industry total,False,178975400000.0,1,3924110
2013,PA,84939713551,42000,..0,All industry total,False,670767400000.0,1,12779538
2013,RI,9567976963,44000,..0,All industry total,False,52994200000.0,1,1055560
2013,SC,32899404552,45000,..0,All industry total,False,186268300000.0,1,4766469
2013,SD,998617334,46000,..0,All industry total,False,45498600000.0,1,842751
2013,TN,64983470828,47000,..0,All industry total,False,296756300000.0,1,6496943
2013,TX,311712674040,48000,..0,All industry total,False,1526781900000.0,1,26479646
2013,USA,2267986733622,0,..0,All industry total,False,16880683000000.0,1,316059947
2013,UT,10638671617,49000,..0,All industry total,False,135344299999.99998,1,2898773
2013,VA,22383125605,51000,..0,All industry total,False,456911600000.0,1,8255861
2013,VT,4949229073,50000,..0,All industry total,False,29477600000.0,1,626603
2013,WA,49899971631,53000,..0,All industry total,False,416924100000.0,1,6966252
2013,WI,22223027345,55000,..0,All industry total,False,283791400000.0,1,5738012
2013,WV,3701383884,54000,..0,All industry total,False,71758600000.0,1,1854768
2013,WY,2161765008,56000,..0,All industry total,False,39365600000.0,1,582620
2014,AK,2015583234,2000,..0,All industry total,False,56587400000.0,1,737075
2014,AL,22241800880,1000,..0,All industry total,False,197064400000.0,1,4843737
2014,AR,7609691584,5000,..0,All industry total,False,117388700000.0,1,2968759
2014,AZ,19743566673,4000,..0,All industry total,False,286676000000.0,1,6732873
2014,CA,403808037836,6000,..0,All industry total,False,2342218800000.0,1,38586706
2014,CO,14260385495,8000,..0,All industry total,False,309223900000.0,1,5352637
2014,CT,23918781968,9000,..0,All industry total,False,247114700000.0,1,3595697
2014,DE,10739039931,10000,..0,All industry total,False,68606000000.0,1,933131
2014,FL,71850133489,12000,..0,All industry total,False,860112600000.0,1,19853880
2014,GA,83876049321,13000,..0,All industry total,False,493370300000.0,1,10071204
2014,HI,5329203097,15000,..0,All industry total,False,77043000000.0,1,1415335
2014,IA,10087416109,19000,..0,All industry total,False,173734200000.0,1,3110643
2014,ID,5695597173,16000,..0,All industry total,False,64501700000.0,1,1632248
2014,IL,140362566219,17000,..0,All industry total,False,772291700000.0,1,12885092
2014,IN,48901639989,18000,..0,All industry total,False,329360900000.0,1,6596019
2014,KS,11809335675,20000,..0,All industry total,False,150276100000.0,1,2901861
2014,KY,39352915989,21000,..0,All industry total,False,188326400000.0,1,4416992
2014,LA,57610890848,22000,..0,All industry total,False,240965000000.0,1,4645938
2014,MA,34525044406,25000,..0,All industry total,False,469824900000.0,1,6764864
2014,MD,30094208931,24000,..0,All industry total,False,351743100000.0,1,5960064
2014,ME,3866657330,23000,..0,All industry total,False,56537400000.0,1,1331217
2014,MI,122984138450,26000,..0,All industry total,False,456123500000.0,1,9932033
2014,MN,34748084109,27000,..0,All industry total,False,324701500000.0,1,5452665
2014,MO,18344352592,29000,..0,All industry total,False,289340700000.0,1,6059130
2014,MS,17286198575,28000,..0,All industry total,False,105219500000.0,1,2991892
2014,MT,6238032824,30000,..0,All industry total,False,45203800000.0,1,1022657
2014,NC,52924800727,37000,..0,All industry total,False,482295700000.0,1,9937295
2014,ND,3828398175,38000,..0,All industry total,False,61108300000.0,1,738736
2014,NE,4054670263,31000,..0,All industry total,False,112763300000.0,1,1879955
2014,NH,11231545072,33000,..0,All industry total,False,73455100000.0,1,1334257
2014,NJ,126456282187,34000,..0,All industry total,False,543824100000.0,1,8867277
2014,NM,2232658341,35000,..0,All industry total,False,92523400000.0,1,2090236
2014,NV,7857493711,32000,..0,All industry total,False,136918400000.0,1,2818935
2014,NY,134674789175,36000,..0,All industry total,False,1434606300000.0,1,19653431
2014,OH,70387088348,39000,..0,All industry total,False,597152300000.0,1,11606573
2014,OK,13626042501,40000,..0,All industry total,False,197074100000.0,1,3879187
2014,OR,13796927797,41000,..0,All industry total,False,187837600000.0,1,3965447
2014,PA,83202874037,42000,..0,All industry total,False,695546600000.0,1,12792392
2014,RI,8357036268,44000,..0,All industry total,False,54612500000.0,1,1056511
2014,SC,37804578619,45000,..0,All industry total,False,195744400000.0,1,4826858
2014,SD,1042511874,46000,..0,All industry total,False,47159900000.0,1,849670
2014,TN,69809681665,47000,..0,All industry total,False,307448500000.0,1,6544617
2014,TX,302865676194,48000,..0,All industry total,False,1592177600000.0,1,26963092
2014,USA,2356356072353,0,..0,All industry total,False,17608138000000.0,1,318386329
2014,UT,11131874590,49000,..0,All industry total,False,142627700000.0,1,2938327
2014,VA,24317635849,51000,..0,All industry total,False,465601700000.0,1,8315430
2014,VT,4764554841,50000,..0,All industry total,False,30359400000.0,1,625693
2014,WA,52522329558,53000,..0,All industry total,False,439851200000.0,1,7057531
2014,WI,23563073258,55000,..0,All industry total,False,296169900000.0,1,5753199
2014,WV,3812450995,54000,..0,All industry total,False,73042600000.0,1,1850569
2014,WY,1900720892,56000,..0,All industry total,False,40573900000.0,1,583159
2015,AK,2493656645,2000,..0,All industry total,False,51574200000.0,1,738430
2015,AL,21900489532,1000,..0,All industry total,False,203113300000.0,1,4854803
2015,AR,7911658377,5000,..0,All industry total,False,118573600000.0,1,2979732
2015,AZ,19751716546,4000,..0,All industry total,False,298942200000.0,1,6832810
2015,CA,408337164437,6000,..0,All industry total,False,2487156400000.0,1,38904296
2015,CO,13507249242,8000,..0,All industry total,False,320895900000.0,1,5454328
2015,CT,25977890296,9000,..0,All industry total,False,260648500000.0,1,3588561
2015,DE,9246099422,10000,..0,All industry total,False,72352500000.0,1,942065
2015,FL,73483480443,12000,..0,All industry total,False,918464300000.0,1,20219111
2015,GA,88697401305,13000,..0,All industry total,False,525516800000.00006,1,10183353
2015,HI,3755805076,15000,..0,All industry total,False,81410200000.0,1,1422999
2015,IA,9363060994,19000,..0,All industry total,False,181471700000.0,1,3122541
2015,ID,5165634568,16000,..0,All industry total,False,66064899999.99999,1,1652495
2015,IL,121308287715,17000,..0,All industry total,False,802592000000.0,1,12859585
2015,IN,49110942472,18000,..0,All industry total,False,333163800000.0,1,6611442
2015,KS,11773557989,20000,..0,All industry total,False,155699000000.0,1,2910717
2015,KY,38661439523,21000,..0,All industry total,False,194621200000.0,1,4429126
2015,LA,35250128094,22000,..0,All industry total,False,234324200000.0,1,4666998
2015,MA,33660856613,25000,..0,All industry total,False,497767000000.0,1,6797484
2015,MD,31517978590,24000,..0,All industry total,False,367314100000.0,1,5988528
2015,ME,3686602104,23000,..0,All industry total,False,58755800000.0,1,1329098
2015,MI,124225338840,26000,..0,All industry total,False,479222700000.0,1,9934483
2015,MN,28588020770,27000,..0,All industry total,False,336762000000.0,1,5484002
2015,MO,18517842109,29000,..0,All industry total,False,299597700000.0,1,6075411
2015,MS,14078385064,28000,..0,All industry total,False,106623900000.0,1,2990231
2015,MT,4062680413,30000,..0,All industry total,False,46542400000.0,1,1031495
2015,NC,51329831218,37000,..0,All industry total,False,508672400000.0,1,10037218
2015,ND,3137357801,38000,..0,All industry total,False,56952200000.0,1,755537
2015,NE,4135860817,31000,..0,All industry total,False,117402300000.0,1,1892059
2015,NH,9313837505,33000,..0,All industry total,False,77385800000.0,1,1337480
2015,NJ,119560423144,34000,..0,All industry total,False,565807700000.0,1,8870312
2015,NM,2248571083,35000,..0,All industry total,False,90779400000.0,1,2090071
2015,NV,9596277799,32000,..0,All industry total,False,145786800000.0,1,2868531
2015,NY,133199042671,36000,..0,All industry total,False,1498474700000.0,1,19657321
2015,OH,68961326651,39000,..0,All industry total,False,615275500000.0,1,11622315
2015,OK,11015367256,40000,..0,All industry total,False,187364700000.0,1,3910518
2015,OR,14821740812,41000,..0,All industry total,False,200592600000.0,1,4018542
2015,PA,79803808615,42000,..0,All industry total,False,716534300000.0,1,12789838
2015,RI,8237272952,44000,..0,All industry total,False,56604000000.0,1,1056886
2015,SC,39044274008,45000,..0,All industry total,False,207510000000.0,1,4896006
2015,SD,1140565173,46000,..0,All industry total,False,48678900000.0,1,854663
2015,TN,76983877931,47000,..0,All industry total,False,326382500000.0,1,6595354
2015,TX,252183481971,48000,..0,All industry total,False,1585985900000.0,1,27468531
2015,USA,2248811351481,0,..0,All industry total,False,18295019000000.0,1,320738994
2015,UT,12101894704,49000,..0,All industry total,False,149762100000.0,1,2983626
2015,VA,25070532636,51000,..0,All industry total,False,485540900000.0,1,8367303
2015,VT,4062934137,50000,..0,All industry total,False,31152400000.0,1,625810
2015,WA,51135449575,53000,..0,All industry total,False,467590600000.0,1,7167287
2015,WI,23049391045,55000,..0,All industry total,False,308304500000.0,1,5762927
2015,WV,3781672516,54000,..0,All industry total,False,71713400000.0,1,1843332
2015,WY,1144855922,56000,..0,All industry total,False,38624800000.0,1,586389
2016,AK,2091014552,2000,..0,All industry total,False,51121800000.0,1,742575
2016,AL,22124857059,1000,..0,All industry total,False,208824300000.0,1,4866824
2016,AR,7828176571,5000,..0,All industry total,False,120987400000.0,1,2991815
2016,AZ,19646593570,4000,..0,All industry total,False,313787100000.0,1,6944767
2016,CA,410062132408,6000,..0,All industry total,False,2586485200000.0,1,39149186
2016,CO,12222563767,8000,..0,All industry total,False,330565900000.0,1,5543844
2016,CT,21342109248,9000,..0,All industry total,False,264760400000.00003,1,3579830
2016,DE,7555131957,10000,..0,All industry total,False,70021500000.0,1,949989
2016,FL,73617909102,12000,..0,All industry total,False,964500800000.0,1,20627237
2016,GA,86181521141,13000,..0,All industry total,False,554903200000.0,1,10308442
2016,HI,2927311438,15000,..0,All industry total,False,84287200000.0,1,1428885
